"Name","DisplayName","State","StartMode","PathName","Description"
"1394ohci","1394 OHCI Compliant Host Controller","Stopped","Manual","C:\Windows\system32\drivers\1394ohci.sys","1394 OHCI Compliant Host Controller"
"ACPI","Microsoft ACPI Driver","Running","Boot","C:\Windows\system32\drivers\ACPI.sys","Microsoft ACPI Driver"
"AcpiDev","ACPI 设备驱动程序","Stopped","Manual","C:\Windows\system32\drivers\AcpiDev.sys","ACPI 设备驱动程序"
"ACPIDriver","ACPIDriver Driver","Stopped","Manual","C:\Windows\system32\drivers\ACPIDriver.sys","ACPIDriver Driver"
"acpiex","Microsoft ACPIEx Driver","Running","Boot","C:\Windows\system32\Drivers\acpiex.sys","Microsoft ACPIEx Driver"
"acpipagr","ACPI 处理器聚合器驱动程序","Running","Manual","C:\Windows\system32\drivers\acpipagr.sys","ACPI 处理器聚合器驱动程序"
"AcpiPmi","ACPI 电源表驱动程序","Stopped","Manual","C:\Windows\system32\drivers\acpipmi.sys","ACPI 电源表驱动程序"
"acpitime","ACPI 唤醒警报驱动程序","Running","Manual","C:\Windows\system32\drivers\acpitime.sys","ACPI 唤醒警报驱动程序"
"arcsas","Adaptec SAS/SATA-II RAID Storport's Miniport Driver","Stopped","Manual","C:\Windows\system32\drivers\arcsas.sys","Adaptec SAS/SATA-II RAID Storport's Miniport Driver"
"CmBatt","Microsoft ACPI 控制方法电池驱动程序","Running","Manual","C:\Windows\system32\drivers\CmBatt.sys","Microsoft ACPI 控制方法电池驱动程序"
"dc1-controller","Xbox 外设驱动程序","Stopped","Manual","C:\Windows\system32\drivers\dc1-controller.sys","Xbox 外设驱动程序"
"ExecutionContext","CPU Scheduler for High Performance I/O","Stopped","Manual","C:\Windows\system32\Drivers\ExecutionContext.sys","CPU Scheduler for High Performance I/O"
"FileCrypt","FileCrypt","Running","System","C:\Windows\system32\drivers\filecrypt.sys","FileCrypt"
"GenPass","Microsoft GenPass 驱动程序","Stopped","Manual","C:\Windows\system32\DriverStore\FileRepository\genpass.inf_amd64_bef88a423225ecdc\genpass.sys","Microsoft GenPass 驱动程序"
"hidgamemap","Game Controller Mapper","Stopped","Manual","C:\Windows\system32\drivers\hidgamemap.sys","Game Controller Mapper"
"HoYoProtect","HoYoProtect","Stopped","Manual","\??\C:\Windows\system32\HoYoKProtect.sys","HoYoProtect"
"hvsocketcontrol","hvsocketcontrol","Running","System","C:\Windows\system32\drivers\hvsocketcontrol.sys","hvsocketcontrol"
"iaStorV","Intel RAID Controller Windows 7","Stopped","Manual","C:\Windows\system32\drivers\iaStorV.sys","Intel RAID Controller Windows 7"
"IndirectKmd","Indirect Displays 内核模式驱动程序","Running","Manual","C:\Windows\system32\drivers\IndirectKmd.sys","Indirect Displays 内核模式驱动程序"
"IntelGNA","Intel(R) GNA Scoring Accelerator service","Running","Manual","C:\Windows\system32\DriverStore\FileRepository\gna.inf_amd64_04d4eecc5838a558\gna.sys","Intel(R) GNA Scoring Accelerator service"
"KSecDD","KSecDD","Running","Boot","C:\Windows\system32\Drivers\ksecdd.sys","KSecDD"
"KSecPkg","KSecPkg","Running","Boot","C:\Windows\system32\Drivers\ksecpkg.sys","KSecPkg"
"MEIx64","Intel(R) Management Engine Interface ","Running","Manual","C:\Windows\system32\DriverStore\FileRepository\heci.inf_amd64_6b6e8cc42a3d1f09\x64\TeeDriverW10x64.sys","Intel(R) Management Engine Interface "
"mlx4_bus","Mellanox ConnectX 总线枚举器","Stopped","Manual","C:\Windows\system32\drivers\mlx4_bus.sys","Mellanox ConnectX 总线枚举器"
"MRxDAV","WebDav Client Redirector Driver","Running","Manual","C:\Windows\system32\drivers\mrxdav.sys","WebDav Client Redirector Driver"
"mrxsmb","SMB MiniRedirector Wrapper and Engine","Running","Manual","C:\Windows\system32\DRIVERS\mrxsmb.sys","SMB MiniRedirector Wrapper and Engine"
"mrxsmb20","SMB 2.0 MiniRedirector","Running","Manual","C:\Windows\system32\DRIVERS\mrxsmb20.sys","SMB 2.0 MiniRedirector"
"MsSecCore","Microsoft 安全性核心启动驱动程序","Running","Boot","C:\Windows\system32\drivers\msseccore.sys","Microsoft 安全性核心启动驱动程序"
"MsSecFlt","Microsoft Security Events Component Minifilter","Stopped","Manual","C:\Windows\system32\drivers\mssecflt.sys","Microsoft Security Events Component Minifilter"
"MsSecWfp","Microsoft Security WFP Callout Driver","Stopped","Manual","C:\Windows\system32\drivers\mssecwfp.sys","Microsoft Security WFP Callout Driver"
"ndfltr","NetworkDirect 服务","Stopped","Manual","C:\Windows\system32\drivers\ndfltr.sys","NetworkDirect 服务"
"nhi","Thunderbolt(TM) Controller","Running","Manual","C:\Windows\system32\drivers\TbtBusDrv.sys","Thunderbolt(TM) Controller"
"OrayVGC","Oray Virtual Game Controller Service","Running","System","C:\Windows\system32\drivers\OrayVGC.sys","Oray Virtual Game Controller Service"
"P9Rdr","Plan 9 Redirector Driver","Running","Manual","C:\Windows\system32\drivers\p9rdr.sys","Plan 9 Redirector Driver"
"pvscsi","pvscsi Storage Controller Driver","Stopped","Manual","C:\Windows\system32\drivers\pvscsii.sys","pvscsi Storage Controller Driver"
"RasAcd","Remote Access Auto Connection Driver","Stopped","Manual","C:\Windows\system32\DRIVERS\rasacd.sys","Remote Access Auto Connection Driver"
"rdbss","Redirected Buffering Sub System","Running","System","C:\Windows\system32\DRIVERS\rdbss.sys","Redirected Buffering Sub System"
"RDPDR","Remote Desktop Device Redirector Driver","Running","Manual","C:\Windows\system32\drivers\rdpdr.sys","Remote Desktop Device Redirector Driver"
"smbdirect","smbdirect","Running","Manual","C:\Windows\system32\DRIVERS\smbdirect.sys","smbdirect"
"UcmCx0101","USB Connector Manager KMDF Class Extension","Running","Manual","C:\Windows\system32\Drivers\UcmCx.sys","USB Connector Manager KMDF Class Extension"
"UcmUcsiAcpiClient","UCM-UCSI ACPI 客户端","Running","Manual","C:\Windows\system32\drivers\UcmUcsiAcpiClient.sys","UCM-UCSI ACPI 客户端"
"UdeCx","USB Device Emulation Support Library","Stopped","Manual","C:\Windows\system32\drivers\udecx.sys","USB Device Emulation Support Library"
"UfxChipidea","USB Chipidea 控制器","Stopped","Manual","C:\Windows\system32\DriverStore\FileRepository\ufxchipidea.inf_amd64_a479fc09885aecbd\UfxChipidea.sys","USB Chipidea 控制器"
"usbcir","eHome Infrared Receiver (USBCIR)","Stopped","Manual","C:\Windows\system32\drivers\usbcir.sys","eHome Infrared Receiver (USBCIR)"
"usbehci","Microsoft USB 2.0 Enhanced Host Controller Miniport Driver","Stopped","Manual","C:\Windows\system32\drivers\usbehci.sys","Microsoft USB 2.0 Enhanced Host Controller Miniport Driver"
"usbohci","Microsoft USB Open Host Controller Miniport Driver","Stopped","Manual","C:\Windows\system32\drivers\usbohci.sys","Microsoft USB Open Host Controller Miniport Driver"
"usbuhci","Microsoft USB Universal Host Controller Miniport Driver","Stopped","Manual","C:\Windows\system32\drivers\usbuhci.sys","Microsoft USB Universal Host Controller Miniport Driver"
"UWACPIDriver","UWACPIDriver Service","Running","Manual","C:\Windows\system32\drivers\UWACPIDriver.sys","UWACPIDriver Service"
"VSTXRAID","VIA StorX Storage RAID Controller Windows Driver","Stopped","Manual","C:\Windows\system32\drivers\vstxraid.sys","VIA StorX Storage RAID Controller Windows Driver"
"WindowsTrustedRT","Windows Trusted Execution Environment Class Extension","Running","Boot","C:\Windows\system32\drivers\WindowsTrustedRT.sys","Windows Trusted Execution Environment Class Extension"
"WmiAcpi","Microsoft Windows Management Interface for ACPI","Running","Manual","C:\Windows\system32\drivers\wmiacpi.sys","Microsoft Windows Management Interface for ACPI"
"WUDFRd","Windows Driver Foundation - User-mode Driver Framework Reflector","Running","Manual","C:\Windows\system32\drivers\WUDFRd.sys","Windows Driver Foundation - User-mode Driver Framework Reflector"
